Wall time,Step,Value
1773424875.5380332,15300,5158.10009765625
1773424995.9374435,15400,5156.0
1773425119.216161,15500,5143.5498046875
1773425241.6670673,15600,5179.60009765625
1773425362.809118,15700,5130.0
1773425483.0408406,15800,5138.75
1773425603.4074538,15900,5183.60009765625
1773425722.2229452,16000,5199.0
1773425843.2205167,16100,5128.60009765625
1773425963.1718676,16200,5156.64990234375
1773426084.3013704,16300,5186.85009765625
1773426205.2375412,16400,5191.0
1773426326.1504223,16500,5183.2998046875
1773426446.309948,16600,5159.85009765625
1773426567.0343943,16700,5151.0498046875
1773426686.4884722,16800,5164.75
1773426808.0484397,16900,5120.14990234375
1773426929.0580041,17000,5132.60009765625
1773427050.473161,17100,5142.9501953125
1773427170.5600715,17200,5155.89990234375
1773427291.2906551,17300,5137.7998046875
1773427410.2120655,17400,5136.85009765625
1773427531.3465056,17500,5125.5498046875
1773427653.1420112,17600,5121.2001953125
1773427774.7009642,17700,5126.2001953125
1773427895.793747,17800,5145.35009765625
1773428016.971511,17900,5157.4501953125
1773428136.5264692,18000,5173.9501953125
1773428256.8004565,18100,5134.60009765625
1773428377.9841723,18200,5155.10009765625
1773428498.194208,18300,5173.75
1773428619.3481405,18400,5164.2998046875
1773428739.1033201,18500,5179.0
1773428861.7262938,18600,5161.2998046875
1773428982.4862902,18700,5151.2998046875
1773429101.8948643,18800,5144.7998046875
1773429222.720527,18900,5164.10009765625
1773429343.354319,19000,5149.14990234375
1773429464.378645,19100,5166.39990234375
1773429585.9210587,19200,5099.75
1773429707.7100127,19300,5031.60009765625
1773429829.6052337,19400,5148.2998046875
1773429950.6126573,19500,5162.89990234375
1773430071.794001,19600,5124.60009765625
1773430191.9809685,19700,5109.25
1773430312.621231,19800,5047.25
1773430434.5961657,19900,5137.64990234375
1773430555.2090967,20000,5140.0498046875
1773430676.9772184,20100,5110.75
1773430797.3379145,20200,5093.7001953125
1773430920.7133522,20300,5094.35009765625
1773431041.7906044,20400,4928.60009765625
1773431160.3716638,20500,5118.2998046875
1773431282.030438,20600,5042.25
1773431403.4503,20700,5111.2001953125
1773431523.1530848,20800,5055.14990234375
1773431644.4397671,20900,5040.64990234375
1773431764.9616697,21000,4919.0498046875
1773431883.8768387,21100,4854.85009765625
1773432003.726728,21200,4791.14990234375
1773432125.713252,21300,4815.35009765625
1773432243.9647489,21400,4804.75
1773432365.252157,21500,4792.75
1773432486.1949456,21600,4940.5
1773432608.846246,21700,4928.14990234375
1773432728.6042826,21800,4866.2001953125
1773432848.641572,21900,4833.5498046875
1773432968.633919,22000,4847.5
1773433090.5283153,22100,4883.0498046875
1773433209.7816901,22200,4853.0498046875
1773433330.9710236,22300,4819.60009765625
1773433452.46393,22400,4849.7001953125
1773433573.496809,22500,4782.14990234375
1773433694.5979693,22600,4800.7998046875
1773433814.55387,22700,4846.85009765625
1773433935.4465766,22800,4783.10009765625
1773434057.5150836,22900,4787.39990234375
1773434177.4590995,23000,4811.39990234375
1773434298.1696298,23100,4890.75
1773434418.351862,23200,4817.10009765625
1773434539.1750145,23300,4812.2001953125
1773434658.163,23400,4816.4501953125
1773434780.7755156,23500,4824.14990234375
1773434900.563319,23600,4811.25
1773435022.8835423,23700,4799.64990234375
1773435142.3524885,23800,4863.5
1773435263.8510988,23900,4805.0498046875
1773435384.6201658,24000,4814.0498046875
1773435503.2466562,24100,4802.39990234375
1773435624.3512173,24200,4810.25
1773435745.551864,24300,4806.7998046875
1773435866.5445342,24400,4812.60009765625
1773435987.5598867,24500,4825.14990234375
1773436107.3987923,24600,4813.4501953125
1773436228.9069755,24700,4825.25
1773436348.7472684,24800,4805.5
1773436471.524306,24900,4821.0
1773436590.585434,25000,4806.39990234375
1773436712.6598778,25100,4834.35009765625
1773436833.3005717,25200,4826.60009765625
1773436952.369828,25300,4835.25
1773437075.110122,25400,4830.10009765625
1773437195.041387,25500,4817.2998046875
1773437316.551783,25600,4814.85009765625
1773437436.437858,25700,4827.5
1773437557.8563452,25800,4812.2998046875
1773437678.3377597,25900,4833.39990234375
1773437797.6964278,26000,4836.85009765625
1773437920.6556785,26100,4825.64990234375
1773438042.0539937,26200,4802.35009765625
1773438164.977934,26300,4814.10009765625
1773438286.9512024,26400,4816.5
1773438407.5270803,26500,4807.75
1773438528.4638562,26600,4820.10009765625
1773438649.8105016,26700,4815.2001953125
1773438772.0095441,26800,4809.9501953125
1773438892.6836789,26900,4822.5498046875
1773439015.0037382,27000,4812.85009765625
1773439134.7743592,27100,4816.0
1773439255.3165662,27200,4799.64990234375
1773439378.0585043,27300,4806.85009765625
1773439499.8778524,27400,4807.5498046875
1773439621.5589554,27500,4826.25
1773439742.9408672,27600,4821.10009765625
1773439864.7949405,27700,4818.64990234375
1773439986.8643038,27800,4827.14990234375
1773440110.3715637,27900,4809.35009765625
1773440231.6508389,28000,4815.7001953125
1773440352.7108748,28100,4826.7001953125
1773440475.172223,28200,4810.89990234375
1773440596.955047,28300,4828.35009765625
1773440716.9154558,28400,4806.10009765625
1773440837.6839871,28500,4821.10009765625
1773440957.1563206,28600,4816.60009765625
1773441078.993977,28700,4818.0498046875
1773441200.252368,28800,4822.75
1773441322.1930952,28900,4831.35009765625
1773441441.7411559,29000,4816.5498046875
1773441563.8675723,29100,4812.2998046875
1773441683.377966,29200,4818.89990234375
1773441806.9689143,29300,4797.25
1773441929.3049183,29400,4815.39990234375
1773442050.6740985,29500,4811.0498046875
1773442170.7783082,29600,4818.0
1773442291.7651556,29700,4821.2001953125
1773442413.7192485,29800,4822.10009765625
1773442534.6149626,29900,4830.7998046875
1773442655.9520726,30000,4828.9501953125
1773442777.8529546,30100,4826.0498046875
1773442898.2521572,30200,4818.35009765625
1773443018.577989,30300,4817.7001953125
1773443138.7817237,30400,4858.75
1773443259.8178618,30500,4863.75
1773443381.819734,30600,4840.9501953125
1773443503.6304398,30700,4808.5
1773443624.5512085,30800,4820.9501953125
1773443746.4009888,30900,4903.85009765625
1773443866.8832915,31000,4882.14990234375
1773443988.7832153,31100,4925.2001953125
1773444109.0687392,31200,4890.89990234375
1773444230.909495,31300,4861.7001953125
1773444351.1574957,31400,4922.5
1773444473.4778235,31500,4867.10009765625
1773444595.8281758,31600,4860.9501953125
1773444717.936167,31700,4915.0
1773444839.0683393,31800,4895.85009765625
1773444960.4568837,31900,4867.64990234375
1773445081.9246984,32000,4832.0
1773445202.9184384,32100,4899.60009765625
1773445323.5673168,32200,4882.39990234375
1773445444.7113347,32300,4852.2001953125
1773445565.2700105,32400,4868.2998046875
1773445688.5856786,32500,4871.5
1773445809.5804787,32600,4875.35009765625
1773445932.0653841,32700,4862.39990234375
1773446054.0637074,32800,4845.64990234375
1773446175.8090818,32900,4855.5498046875
1773446298.02669,33000,4812.0
1773446418.7507207,33100,4839.75
1773446541.1109583,33200,4831.9501953125
1773446662.3816845,33300,4812.7998046875
1773446784.802354,33400,4837.5498046875
1773446907.1640706,33500,4864.2001953125
1773447029.4375162,33600,4852.4501953125
1773447150.2530754,33700,4850.5498046875
1773447271.427144,33800,4857.25
1773447391.8565998,33900,4863.35009765625
1773447514.4727468,34000,4855.2998046875
1773447634.1002083,34100,4859.2001953125
1773447754.7787337,34200,4873.2001953125
1773447875.3721046,34300,4840.0498046875
1773447997.2815197,34400,4882.0498046875
1773448119.6120925,34500,4831.7001953125
1773448242.0543683,34600,4845.10009765625
1773448363.7112465,34700,4816.4501953125
1773448485.0393364,34800,4812.75
1773448605.0811286,34900,4847.35009765625
1773448725.9775429,35000,4853.75
1773448846.7361104,35100,4836.7001953125
1773448966.5324316,35200,4882.10009765625
1773449089.1244137,35300,4887.7998046875
1773449209.632691,35400,4860.14990234375
1773449333.0520966,35500,4900.9501953125
1773449452.8565598,35600,4907.35009765625
1773449573.0628285,35700,4850.75
1773449695.0023403,35800,4824.0
1773449817.19825,35900,4872.5498046875
1773449938.5406034,36000,4876.2001953125
1773450061.6295826,36100,4839.60009765625
1773450181.0826235,36200,4854.0498046875
1773450304.082084,36300,4874.39990234375
1773450424.970285,36400,4862.5498046875
1773450545.9442618,36500,4851.4501953125
1773450666.8956385,36600,4897.2998046875
1773450787.8452666,36700,4863.4501953125
1773450909.0196602,36800,4857.75
1773451033.544329,36900,4850.64990234375
1773451154.4335935,37000,4809.35009765625
1773451276.591012,37100,4833.35009765625
1773451397.795918,37200,4846.25
1773451520.553297,37300,4843.39990234375
1773451641.9739347,37400,4819.10009765625
1773451764.3619778,37500,4863.39990234375
1773451885.7406275,37600,4887.7998046875
1773452007.4298844,37700,4858.39990234375
1773452129.3600912,37800,4928.0
1773452252.646124,37900,4915.0
1773452374.8318336,38000,4862.9501953125
1773452495.536764,38100,4832.2998046875
1773452618.935719,38200,4861.4501953125
1773452739.1306171,38300,4852.35009765625
1773452860.7639556,38400,4813.10009765625
1773452983.6941752,38500,4873.89990234375
1773453105.2874484,38600,4816.4501953125
1773453226.7737124,38700,4817.35009765625
1773453349.078561,38800,4851.5
1773453471.884307,38900,4853.5498046875
1773453594.3526828,39000,4848.4501953125
1773453716.5956404,39100,4852.2998046875
1773453838.7012691,39200,4879.5
1773453961.6777072,39300,4812.60009765625
1773454084.1180701,39400,4844.85009765625
1773454205.7406769,39500,4853.0498046875
1773454328.5048478,39600,4823.2998046875
1773454450.469933,39700,4806.0
1773454572.349829,39800,4859.10009765625
1773454693.6440704,39900,4827.89990234375
1773454817.1574905,40000,4881.0
1773454937.4337394,40100,4817.9501953125
1773455058.8016965,40200,4826.25
1773455181.1107304,40300,4825.4501953125
1773455301.261409,40400,4853.5
1773455424.4009225,40500,4858.25
1773455546.1556656,40600,4831.35009765625
1773455666.9665778,40700,4900.35009765625
1773455789.143908,40800,4829.64990234375
1773455910.5021138,40900,4857.10009765625
1773456034.9565086,41000,4864.35009765625
1773456155.6876252,41100,4866.5
1773456278.0020304,41200,4829.2001953125
1773456400.968798,41300,4856.64990234375
1773456522.835693,41400,4833.89990234375
1773456645.8130884,41500,4844.0
1773456766.6570127,41600,4897.10009765625
1773456888.6456552,41700,4844.7998046875
1773457010.6049273,41800,4827.7001953125
1773457132.877205,41900,4805.64990234375
1773457255.7193475,42000,4868.35009765625
1773457376.5457628,42100,4861.60009765625
1773457497.9769115,42200,4807.9501953125
1773457620.3187494,42300,4830.0
1773457741.27884,42400,4834.89990234375
1773457863.9642775,42500,4808.0
1773457985.656516,42600,4853.5498046875
1773458106.7171686,42700,4859.60009765625
1773458229.1189756,42800,4822.85009765625
1773458353.097359,42900,4850.5
1773458474.826036,43000,4852.7998046875
1773458596.9710922,43100,4855.7001953125
1773458719.8299146,43200,4826.0
1773458840.7310076,43300,4845.5498046875
1773458962.6352706,43400,4838.25
1773459083.615455,43500,4887.89990234375
1773459206.6368647,43600,4853.85009765625
1773459327.8809223,43700,4894.4501953125
1773459450.6685522,43800,4850.7998046875
1773459573.069443,43900,4901.85009765625
1773459695.5304685,44000,4863.5498046875
1773459818.2897968,44100,4851.89990234375
1773459938.9491084,44200,4861.75
1773460061.348319,44300,4854.7998046875
1773460183.4792802,44400,4836.35009765625
1773460306.6329718,44500,4880.2001953125
1773460428.1709068,44600,4890.75
1773460550.7886782,44700,4827.5
1773460673.3905358,44800,4827.25
1773460795.6998725,44900,4854.14990234375
1773460918.9545424,45000,4854.85009765625
1773461040.3323417,45100,4846.2998046875
1773461162.897112,45200,4859.2998046875
1773461285.755979,45300,4821.5498046875
1773461407.8021655,45400,4885.75
1773461529.387917,45500,4863.39990234375
1773461651.1602275,45600,4815.7998046875
1773461774.2793994,45700,4839.39990234375
1773461897.2585762,45800,4859.35009765625
1773462017.5248692,45900,4836.85009765625
1773462139.5373526,46000,4858.35009765625
1773462261.1341162,46100,4867.89990234375
1773462384.2446883,46200,4849.2998046875
1773462505.2301226,46300,4839.7998046875
1773462628.360102,46400,4878.10009765625
1773462748.4753335,46500,4834.60009765625
1773462871.9987373,46600,4787.9501953125
1773462993.7461774,46700,4825.14990234375
1773463113.9308946,46800,4783.14990234375
1773463236.2424936,46900,4797.9501953125
1773463359.9287367,47000,4815.5
1773463482.2305415,47100,4783.7998046875
1773463603.5773244,47200,4808.0
1773463725.579006,47300,4862.39990234375
1773463848.1716516,47400,4818.5
1773463970.7762527,47500,4816.10009765625
1773464093.9250093,47600,4814.35009765625
1773464214.7236528,47700,4822.9501953125
1773464336.603919,47800,4797.10009765625
1773464459.1363392,47900,4830.2001953125
1773464580.0616827,48000,4819.14990234375
1773464703.2336848,48100,4818.75
1773464824.540023,48200,4846.0498046875
1773464948.229552,48300,4790.0
1773465071.4116774,48400,4834.7998046875
1773465193.8521192,48500,4822.7998046875
1773465314.8047595,48600,4800.60009765625
1773465436.1492147,48700,4801.5
1773465559.7023594,48800,4837.64990234375
1773465680.3963482,48900,4809.75
1773465803.5024745,49000,4826.2998046875
1773465926.1497037,49100,4801.5
1773466049.7811341,49200,4819.9501953125
1773466171.64286,49300,4822.2001953125
1773466292.374822,49400,4823.7998046875
1773466415.4541738,49500,4809.0498046875
1773466537.6119864,49600,4872.7998046875
1773466661.370031,49700,4887.75
1773466783.4347088,49800,4840.60009765625
1773466903.9930425,49900,4796.2998046875
1773467026.4004662,50000,4859.9501953125
1773467147.4535038,50100,4837.5498046875
1773467273.0400143,50200,4849.89990234375
1773467393.3147292,50300,4855.4501953125
1773467517.0772138,50400,4851.9501953125
1773467638.3260818,50500,4871.0498046875
1773467759.9155638,50600,4872.4501953125
1773467881.7036047,50700,4864.89990234375
1773468004.279856,50800,4803.0
1773468126.260643,50900,4819.0498046875
1773468248.4959486,51000,4870.10009765625
1773468371.3485126,51100,4804.7998046875
1773468491.7226043,51200,4876.7001953125
1773468613.5829275,51300,4847.14990234375
1773468737.8277228,51400,4815.35009765625
1773468859.0006595,51500,4870.2001953125
1773468980.958641,51600,4797.39990234375
1773469102.008703,51700,4805.39990234375
1773469224.5985954,51800,4777.25
1773469347.737381,51900,4796.5498046875
1773469468.9510343,52000,4786.64990234375
1773469590.5403652,52100,4830.64990234375
1773469712.6121857,52200,4817.10009765625
1773469837.3782194,52300,4816.85009765625
1773469960.5475373,52400,4774.0498046875
1773470081.4601629,52500,4898.2998046875
1773470203.5341022,52600,4798.0
1773470327.3976197,52700,4784.14990234375
1773470449.6770294,52800,4797.0498046875
1773470571.8714142,52900,4801.60009765625
1773470693.9135408,53000,4767.9501953125
1773470814.5666828,53100,4756.7998046875
1773470936.0351303,53200,4766.75
1773471059.5129483,53300,4769.14990234375
1773471180.1875908,53400,4759.9501953125
1773471303.5427904,53500,4768.89990234375
1773471425.4816434,53600,4754.35009765625
1773471548.115853,53700,4797.60009765625
1773471671.1929305,53800,4780.89990234375
1773471790.9661422,53900,4791.7001953125
1773471914.3609223,54000,4729.35009765625
1773472036.3577235,54100,4759.85009765625
1773472159.1539054,54200,4759.5498046875
1773472279.6830914,54300,4770.5498046875
1773472402.078337,54400,4776.60009765625
1773472524.4512036,54500,4746.85009765625
1773472646.7974663,54600,4770.7998046875
1773472768.8789551,54700,4758.7001953125
1773472890.992212,54800,4763.89990234375
1773473015.006877,54900,4749.75
1773473136.549682,55000,4761.25
1773473260.6592607,55100,4798.89990234375
1773473381.5965488,55200,4778.5498046875
1773473504.2737155,55300,4745.0498046875
1773473625.4960833,55400,4789.0498046875
1773473747.4088273,55500,4758.60009765625
1773473867.8730273,55600,4775.10009765625
1773473989.441213,55700,4805.25
1773474112.0680866,55800,4758.7001953125
1773474235.4061208,55900,4798.60009765625
1773474357.4284654,56000,4831.75
1773474479.501121,56100,4836.7998046875
1773474601.6503105,56200,4778.64990234375
1773474724.4606624,56300,4807.25
1773474846.7061012,56400,4730.14990234375
1773474969.686058,56500,4745.7001953125
1773475090.0719566,56600,4794.25
1773475213.3599815,56700,4836.64990234375
1773475336.0845835,56800,4775.7001953125
1773475456.7734823,56900,4808.5
1773475578.5589051,57000,4837.0
1773475700.1801896,57100,4775.10009765625
1773475823.131502,57200,4761.75
1773475945.553401,57300,4774.5498046875
1773476067.530282,57400,4772.35009765625
1773476188.2029893,57500,4744.89990234375
1773476313.4288766,57600,4755.89990234375
1773476435.8763118,57700,4778.75
1773476558.4925334,57800,4781.10009765625
1773476678.0738552,57900,4771.25
1773476799.3228514,58000,4728.64990234375
1773476922.5980608,58100,4745.14990234375
1773477043.9606073,58200,4773.0
1773477167.7825677,58300,4772.64990234375
1773477289.3669279,58400,4757.7001953125
1773477411.3100142,58500,4802.9501953125
1773477536.2683048,58600,4776.9501953125
1773477657.1272838,58700,4724.2998046875
1773477779.7431502,58800,4786.25
1773477902.5621016,58900,4838.2998046875
1773478026.1042647,59000,4760.0
1773478149.1552598,59100,4824.2998046875
1773478271.9494998,59200,4809.89990234375
1773478395.5818083,59300,4820.14990234375
1773478519.030064,59400,4846.25
1773478642.0212052,59500,4765.2001953125
1773478761.4955645,59600,4863.14990234375
1773478884.8323474,59700,4820.85009765625
1773479008.4511588,59800,4890.2001953125
1773479132.5076535,59900,4861.7001953125
1773479253.488913,60000,4813.9501953125
1773479373.5503066,60100,4815.7001953125
1773479495.2944853,60200,4811.5
1773479618.6919253,60300,4822.85009765625
1773479741.3565652,60400,4857.25
1773479864.2255607,60500,4794.9501953125
1773479987.2981737,60600,4757.7001953125
1773480110.940332,60700,4767.10009765625
1773480234.2100275,60800,4825.75
1773480354.582226,60900,4803.89990234375
1773480478.4195402,61000,4785.7001953125
1773480600.9316351,61100,4783.0
1773480723.8125758,61200,4760.9501953125
1773480846.0788805,61300,4817.39990234375
1773480968.1740766,61400,4793.4501953125
1773481092.3691025,61500,4873.35009765625
1773481213.8546033,61600,4793.60009765625
1773481338.5948048,61700,4804.10009765625
1773481457.6418414,61800,4772.2998046875
1773481580.279683,61900,4770.2001953125
1773481702.6727412,62000,4783.75
1773481825.406658,62100,4809.7001953125
1773481950.3067124,62200,4805.75
1773482070.4189565,62300,4854.64990234375
1773482195.3721538,62400,4807.35009765625
1773482316.481488,62500,4827.2001953125
1773482441.7957013,62600,4773.5498046875
1773482562.9847105,62700,4795.25
1773482684.0605457,62800,4731.0
1773482807.7840116,62900,4796.25
1773482929.7963543,63000,4790.4501953125
1773483052.900514,63100,4794.7998046875
1773483173.6312797,63200,4781.35009765625
1773483297.0935018,63300,4747.5
1773483417.9393318,63400,4730.85009765625
1773483540.4026725,63500,4743.9501953125
1773483662.9218931,63600,4788.64990234375
1773483783.4678838,63700,4752.85009765625
1773483906.0759912,63800,4755.0498046875
1773484028.1079826,63900,4751.75
1773484152.041079,64000,4765.5
1773484273.9319024,64100,4744.25
1773484396.7197967,64200,4756.4501953125
1773484519.3264477,64300,4719.25
1773484641.52824,64400,4738.89990234375
1773484763.1451218,64500,4775.4501953125
1773484886.0620472,64600,4759.0
1773485008.5635476,64700,4745.10009765625
1773485131.9017553,64800,4739.9501953125
1773485254.4161553,64900,4717.7998046875
1773485375.3308995,65000,4730.2001953125
1773485499.0596616,65100,4754.10009765625
1773485621.05905,65200,4730.25
1773485744.1059334,65300,4729.9501953125
1773485866.580338,65400,4734.2001953125
1773485987.4926822,65500,4720.7998046875
1773486110.562542,65600,4739.5
1773486233.0129256,65700,4790.5
1773486354.9481964,65800,4744.75
1773486475.3441021,65900,4767.5
1773486598.8739269,66000,4748.39990234375
1773486723.0318983,66100,4745.85009765625
1773486843.8360772,66200,4782.10009765625
1773486965.592373,66300,4769.14990234375
1773487088.066095,66400,4786.2998046875
1773487211.0894673,66500,4796.5498046875
1773487332.4111626,66600,4817.0
1773487455.173822,66700,4725.7001953125
1773487577.0360732,66800,4788.0
1773487698.5658913,66900,4755.89990234375
1773487820.6295803,67000,4787.7998046875
1773487943.4630141,67100,4774.64990234375
1773488066.3186972,67200,4774.5498046875
1773488188.907427,67300,4807.2998046875
1773488311.9369223,67400,4751.4501953125
1773488434.1146255,67500,4789.60009765625
1773488557.364145,67600,4808.7998046875
1773488678.866736,67700,4801.9501953125
1773488800.2527,67800,4776.75
1773488923.1017406,67900,4807.0498046875
1773489042.8722928,68000,4793.0498046875
1773489166.3764884,68100,4754.60009765625
1773489288.8824325,68200,4806.25
1773489411.7831008,68300,4776.64990234375
1773489534.7053454,68400,4846.89990234375
1773489656.014178,68500,4799.35009765625
1773489780.3363273,68600,4789.7998046875
1773489902.3746367,68700,4771.2998046875
1773490025.2191584,68800,4751.0498046875
1773490148.3138812,68900,4851.85009765625
1773490270.1500564,69000,4791.75
1773490393.254223,69100,4790.89990234375
1773490514.6927192,69200,4784.7001953125
1773490637.7706168,69300,4775.2001953125
1773490758.2651627,69400,4785.14990234375
1773490883.7880228,69500,4789.9501953125
1773491005.6217465,69600,4778.4501953125
1773491127.1348524,69700,4735.14990234375
1773491249.6691508,69800,4796.2001953125
1773491370.3115528,69900,4786.64990234375
